the only thing i got from college is a caffeine addiction,1,addiction
i love it when professors draw a big question mark next to my answer on an exam because im always like yeah i do not either,1,love like
remember the hundred emails from companies when covid started getting real ive gotten three in regards to support for protests and only savagexfenty shared helpful links and actually said black lives matter we love capitalism,1,real support protests helpful black love
today my poppop told me i was not forced to go to college okay sure sureeee,1,okay sure sureeee
volphancarol littlewhitty mysticalmanatee i did too and i also reported cancun cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to mexico,1,too
jimrossignol i choose to interpret it as xd the universal emoticon for laughing at those poor poor folks in ubisofts marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch,1,universal laughing poor poor deal
why would alexas recipe for yorkshire pudding be a bhaji yorkshire pudding bbcgoodfood,1,
someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i have not slept im so tired but i love my friend so much and oh my fucking god i can not rn,1,not tired love friend fucking
loving season 4 of trump does america funniest season yet donaldtrump trump maga maga2020,1,loving trump trump
holly arnold who imaceleb mbe nope not sure oh hang on you mean mbe yes thats her,1,not sure mean yes
any pensioner and 4 year old who dare take me on at dinosaur themed crazy golf will be crushed crushed i tell you httpstcoyzlafy0lsd,1,dare crazy will
see brexit is going well,1,well
just like to congratulate everyone on the kop today for the fastest ever poor scouser tommy slow the fuck down,1,like poor slow fuck
do i just blast maneskin to get hyped for my osce or,1,blast
heathoween tylerrjoseph yes because we need literally every single fucking celebrity to speak up on a topic thats been forced down everyones throats for the past four months i use the internet to get away from these fucking real life problems not everyone needs to weigh in,1,yes need fucking celebrity fucking real problems not needs
i never thought id say this but i have become one of those people who like bounty bars,1,like
my eldest is having a wild friday night out shes going to bingo,1,wild
whoevers toddler ass sprayed the entire toilet backstage i hope you stub your toe and bite your tongue really hard also you were clearly dehydrated go drink some damn water like an adult,1,ass hope hard clearly damn like
gaslight gatekeep girl boss,1,
i was only in taylor swifts top 010 of listeners on spotify but last year but yeah totally sound that swiftogeddan in glasgow is sold out,1,top
imagine going to university for 4 years when you could just follow elon musk on twitter for free,1,free
not got one lynx africa for christmas day this year shocked and outraged ruinedchristmas,1,shocked
the villains in super hero films are awfully polite they always confine their invasions to being above one particular city,1,villains super hero awfully polite above
oh my goodness its the first week of the summer holidays and harrison has found his recorder givemestrength,1,goodness
asdaserviceteam imagine your delivery being 2 hours late and imagine calling up your service team only for them to hang up at 10pm coincidentally the same time the office closes but its okay my 3 delivery fee is being refunded though,1,okay
teams is down what a shame i can not do my assignments,1,shame
duncanedwards03 politicsforali well i doubt theyre trying to smash the doors in to change the regulation of cough medicine,1,well doubt smash
not at all concerning that a mans just been round to fiddle with the boiler and now hes left the carbon monoxide alarm will not stop beeping,1,not concerning
not telling anyone how i voted in case it does not come true euref,1,not true
just wondering how to get my diss down by 1500 words such fun,1,wondering
its been a blissful 25 hours of sleep tonight,1,blissful
falling asleep at your laptop is always fun,1,falling
trying to know all this history tonight is gonna kill me,1,kill
love it when jonny makes me use earphones to watch something on my phone so he can play fifa,1,love
nice to be compared to a brick wall,1,nice
bellulargaming blizzard will have to make sure it does not exceed the recommended fun level of 10,1,will sure not exceed recommended
if 2020 was a nose itd be mine,1,
would anyone like to give me some money findom,1,like
got very excited that my national trust card arrived i am officially a grandma httpstcomtkwjcxwom,1,trust
vaccinated this morning not sure its worked still committed to apple and no extra autism detected bloody science,1,not sure bloody
its coming hooooome,1,
i wish i could tap in to the government bank account,1,wish
90 of adulthood is just refilling your brita pitcher,1,
i suppose though we did sign one for the future so you know not all gloom and doomwe might be good in 6 years time,1,not gloom good
where is the chancellor please check the back of your sofas,1,
i have been informed that as aroace and agender i have triple visibility and am now visible from space,1,
going to be running on three hours of sleep at work tonight so excited,1,
alexshawespn robwishart gnev2 does he order 11 at once and drink each one at just over 5 minutes or do we have to take into account going to the bar either way its a disgrace and not what we should be promoting to the kids,1,disgrace
im now reading 4 books at once what could go wrong,1,wrong
zionwarrior6 i think lunch was ready at the care home then it was time for nap and then countdown,1,ready
schlippertysch1 anonopin very good just need to work on your spelling now,1,good need
july 1st half way point of the year well i think we can all agree that 2020 has gone swimmingly so far can not wait for part 2 murderhornets,1,well
got locked out of twitter for saying its embarrassing to be an arsenal fan thats not okay but people can be abusive and racist and nothing okay,1,embarrassing not okay abusive racist okay
i just absolutely love how ive got to work outside for the next 3 days in the heatwavesweatingmyballsoff,1,love
thepartridgepod defrost the freezer with the cast of hollyoaks any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars magic,1,wanted empty
so very delayed flight from bristol to edinburgh easyjet trademark vagueness from staff with a chronic lack of empathy to boot despite me travelling with three young children now time to feed our family with 3 vouchers at airport prices bollocks,1,vagueness chronic lack empathy despite
we need to normalise having absolutely fried bleach damaged hair people should talk about this,1,need
wizkid is the king ok lol,1,
ah yes it really is woodburning stoves in subsaharan africa thats driving the climate crisis httpstcolshlgwygox,1,yes crisis
started watching house of cards 4 episodes in already i can see it was a good choice,1,good
social care for the young is basically a bath board and bed rest and your done,1,
ponosen very nice were now briefly up to date hopefully does not take you so long to do the english release of the new pixie after we get 910,1,nice hopefully
justice has been done,1,justice
what a race sarcastic wtf1 httpstcozrtl5alnot,1,sarcastic
help im being haunted by dead people my dissertations,1,help haunted dead
my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst i sit here on backtoback zooms all day every day the audacity is astonishing,1,taunting chilling hot warm audacity astonishing
ive been doing physics for 40 minutes i think i deserve a break im never going to get it all done at this rate,1,break
billy gunn sorta relevant for the first time in years,1,relevant
wish i could understand string theory without knowing math alas i guess i am too hot for conceptual physics,1,wish understand alas too hot
so we actually have to do hot girl summer without 1989 taylors version im sick,1,hot sick
spiced coconut curry a weekend spent with friends brings a week of content or something like that started the weekend off with this yummy morsel with was a fusion of miso sesame aubergine broccoli httpstcozywia0ex4u,1,friends like
considering crowd surfing the next time the hallways are too packed,1,too
avoid mass gatherings does this mean that i can stay home tomorrow as i work at a si love it when professors draw a big question mark next to my answer on an exam because im always like yeah i do not either,1,avoid mean love like
s new shed,1,
what a wonderful time to have your ac go out httpstcojqjqg1dgoa,1,wonderful
walesonline riveting news,1,
my extended fam was discussing going on a trip instead of getting presents for christmas like okay im bout ityeah they were talking about doing to the dells ill take my god damn presents thank you very much,1,like okay ill damn thank
okay but like the say so song is not that bad im unironically jam to it lmao,1,okay like not bad jam
if you see me crying in the selfservice car wash in my rosatis uniform no you did not,1,
tinnitus is my favourite thing ever i love it so loud so atmospheric httpstcomnjw5gvpzy,1,love
thanks sovietwomble for ratting my location out on stream and then embarrassing me it made my day though httpstco3b7cjql2go,1,embarrassing
love living in a capitalist society where i look forward to getting a surgery where im legit getting an internal body part removed bc it means ill get a few days off from work xoxo,1,love means ill
i love ingesting poison and then wondering why my tummy is rumbling the next morning,1,love poison wondering
beautician and the beast 1997 best timothy dalton film of all time,1,beast best
feeyacruz ahahahaha the feeya i know and love miss u,1,love miss
absolutely love waking up to the fire alarm at 7 am,1,love
fully vaxxed feeling very girlboss,1,
i feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what i mean,1,like allowed shame like open mean
let me guess it has to be charlotte tilbury makeup and if by chance you do take it off use charlotte tilbury skincare httpstco0c2ifipy8l,1,
the typhoon flew over me today absolutely fuming they forgot to bomb me,1,fuming
love getting assignments at 625pm on a friday,1,love
raging debate on the importance of an orlando magic summer league championship definitely a notch below 6 if decided by coin flip httpstcolg0vrwkrko,1,raging debate importance definitely
ritsmeg freedomsenpai hot loli,1,hot
between mikey cooking and didi cooking for me i relaxing cooking i do not know her,1,relaxing
ah gotta love that friday morning burnt out feeling,1,love
pftompkins her family should definitely not seek mental health guidance,1,definitely not guidance
how i flirt with boys boy hey i saw you from across the room and had to come overme wow youre super observant do you have 2020 vision,1,flirt wow super
been trying to get my boyfriends attention lets see how long it takes for him to see this tweet tho,1,
my work email is not working so i can just log off for the day right,1,right
watching olympic womens beach volleyball for the plot,1,
theres no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed,1,better knock dead
cold ears take out one airpod leave it by the stove and forget about it for 20 minutes,1,cold forget
do the hokies really have to play 5 against 6 tonight come on stripes,1,against
